name,index_value,time,date
Wazuh,62.9025482650933,2,2025-08-21
MISP,53.6541373517251,2,2025-08-21
OpenCTI,43.977220475016,2,2025-08-21
TheHive,40.8624163597348,2,2025-08-21
OpenVAS,60.0260909303462,2,2025-08-21
Velociraptor,43.0768265147961,2,2025-08-21
Gophish,48.3891894398693,2,2025-08-21
Flow,42.7272727272727,2,2025-08-21
Elasticsearch,66.9010420651558,2,2025-08-21
Artemis,40.5259112867809,2,2025-08-21
Wazuh,64.6841905933628,1,2025-08-17
MISP,51.8221989456909,1,2025-08-17
OpenCTI,52.1563564348622,1,2025-08-17
TheHive,44.4987799960984,1,2025-08-17
OpenVAS,52.7529634999147,1,2025-08-17
Velociraptor,46.7134432876036,1,2025-08-17
Gophish,45.6619167125966,1,2025-08-17
Flow,48.1818181818182,1,2025-08-17
Elasticsearch,63.2637877273876,1,2025-08-17
Artemis,42.3442659035879,1,2025-08-17
